Наименование;"Наименование артикула";Артикул;Валюта;Цена;"Доступен для заказа";"Зачеркнутая цена";"Закупочная цена";"В наличии";"Краткое описание";Описание;Наклейка;Статус;"Тип товаров";Теги;"Облагается налогом";Заголовок;"META Keywords";"META Description";"Ссылка на витрину";compare_price_selectable;purchase_price_selectable;"Масса жидкого состава (в среднем)";"Тип распыления:";"Слезоточивые вещества (ирританты):";"Пятно контакта на 2 м:";"Эффективная дальность:";"Время работы:";"Рабочая температура:";Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения;Изображения
"Дракон 650 мл.";;;RUB;2400;1;0;0;;"Дракон выдает очень мощную струю и обильное залитие с одного и двух метров. Пенная шапка объемная и держится долго, хотя жидкости при распылении тоже много и лист мокрый насквозь. Смахнуть пену с лица и остаться сухим не получиться, т.е. поражение слизистых обеспечено.";"<p><em>Подумай о безопасности своих друзей - поделись с ними</em></p><p><img src=""/wa-data/public/shop/img/img_15082014_214107-1.png""></p><p>Дракон 650 выдает очень мощную струю и обильное залитие с одного и двух метров. Пенная шапка объемная и держится долго, хотя жидкости при распылении тоже много и лист мокрый насквозь. Смахнуть пену с лица и остаться сухим не получиться, т.е. поражение слизистых обеспечено.Предельная дистанция применения составляет порядка 2-х метров. Но это на улице! В помещении 3-4 метра легко, правда будет небольшое респираторное воздействие, так как в воздух, вместе со струей, выбрасывается облако взвеси и микрочастиц. &nbsp;</p><p>Испытания баллончика</p><iframe src=""//www.youtube.com/embed/3M6FZWFZtJw"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe>";;1;"Обычный товар";;;"газовый баллончик Дракон 650";"Дракон 650, Дракон, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Пенный газовый баллончик Дракон 650 мл. от ЗАО ""Техкрим""";drakon-650-ml;0.0000;0.0000;"455 г.";"СП (струйный пенный)";"OC олеорезин капсикум 95% (экстракт натурального жгучего перца) Tc: 0,21%";"17 см.";"4 м.";"16 с (32 кратковременных нажатий)";-20…+50°С;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/06/00/6/images/22/22.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/06/00/6/images/23/23.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/06/00/6/images/24/24.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/06/00/6/images/25/25.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/06/00/6/images/26/26.970.jpg;;;
"Дракон 65 мл.";;;RUB;440;1;0;0;;"Дракон выдает очень мощную струю и обильное залитие с одного и двух метров. Пенная шапка объемная и держится долго, хотя жидкости при распылении тоже много и лист мокрый насквозь. Смахнуть пену с лица и остаться сухим не получиться, т.е. поражение слизистых обеспечено.";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p><img src=""/wa-data/public/shop/img/img_15082014_214107.png""></p><p>Дракон 65 выдает очень мощную струю и обильное залитие с одного и двух метров. Пенная шапка объемная и держится долго, хотя жидкости при распылении тоже много и лист мокрый насквозь. Смахнуть пену с лица и остаться сухим не получиться, т.е. поражение слизистых обеспечено.Предельная дистанция применения составляет порядка 2-х метров. Но это на улице! В помещении 3-4 метра легко, правда будет небольшое респираторное воздействие, так как в воздух, вместе со струей, выбрасывается облако взвеси и микрочастиц. &nbsp;&nbsp;</p><p>Испытания баллончика</p><iframe src=""//www.youtube.com/embed/Gr4s1IN2ZbY"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe>";;1;"Обычный товар";;;"газовый баллончик Дракон 65";"Дракон 65, Дракон, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Пенный газовый баллончик Дракон 65 мл. от ЗАО ""Техкрим""";drakon-65-ml;0.0000;0.0000;"50 г.";"СП (струйный пенный)";"OC олеорезин капсикум 95% (экстракт натурального жгучего перца) Tc: 0,31%";"14 см.";"3 м.";"5 с (10 кратковременных нажатий)";"-20 до +50";http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/05/00/5/images/19/19.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/05/00/5/images/20/20.970.jpg;;;;;;
Гелевые;;;;;;;;;;;;1;;;;;"гелевый газовый баллончик, гелевый перцовый баллончик, техкрим";"Впервые на Российском рынке Гелевый газовый баллончик - работает из любого положения, подходит для применения в помещении";gelevye;;;;;;;;;;;;;;;;;
С360;;;RUB;463;1;0;0;;"Первый в России гелевый перцовый баллончик со струйным типом распыления! Работает в любом положении и под любым углом, и главное не обладает респираторным эффектом, что позволяет применять его в замкнутых помещениях (в подъезде, в лифте и пр.).";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p>Первый в России гелевый перцовый баллончик со струйным типом распыления! Работает в любом положении и под любым углом, и главное не обладает респираторным эффектом, что позволяет применять его в замкнутых помещениях (в подъезде, в лифте и пр.).Перцовый гелевый баллончик С360 объемом 100 мл является универсальным средством для квартиры (дома) и позволит Вам всегда чувствовать себя уверено.</p><p>Также за счет повышенной ветроустойчивости баллончик С360 можно эффективно применять на улице в любую погоду.</p><p>Испытания баллончика</p><iframe src=""//www.youtube.com/embed/yqtRweqzA4Y"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe>";;1;"Обычный товар";;;"газовый баллончик С360";"С360, Гелевый, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Гелевый перцовый баллончик  С360 от ЗАО ""Техкрим""";s360;0.0000;0.0000;"50 г.";"СГ (струйный-гелевый)";"OC олеорезин капсикум 95% (экстракт натурального жгучего перца) Tc: 1,0%";"40 см.";"3 м.";"5 с (10 кратковременных нажатий)";"-20 до +50";http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/08/00/8/images/32/32.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/08/00/8/images/33/33.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/08/00/8/images/34/34.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/08/00/8/images/35/35.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/08/00/8/images/36/36.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/08/00/8/images/37/37.970.jpg;;
Аэрозольные;;;;;;;;;;;;1;;;;;"Аэрозольный газовый баллончик, Аэрозольный перцовый баллончик, техкрим,";"Классические аэрозольные газовые баллончики хорошо подходят для применения на улице и не требуют прицеливания. Самая широкая линейка газовых баллончиков ЗАО ""Техкрим""";aerozolnye;;;;;;;;;;;;;;;;;
"Перец 11-А, 65 мл.";;;RUB;387;1;0;0;;"Газовый баллончик «Перец 11А» – это перцовый баллончик последнего поколения, который содержит максимально разрешенную в РФ концентрацию ирританта: OC олеорезин капсикум 95% (экстракт натурального жгучего перца).";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p>Газовый баллончик «Перец 11А» – это перцовый баллончик последнего поколения, который содержит максимально разрешенную в РФ концентрацию ирританта:<strong style=""background-color: initial;""> OC</strong> олеорезин капсикум<strong style=""background-color: initial;"">95%</strong> (<em style=""background-color: initial;"">экстракт натурального жгучего перца</em>).</p><p>«Перец 11А» – это аэрозольный газовый баллончик и обладает очень сильным респираторным эффектом. Этот баллончик прекрасно подходит как средство защиты от собак или как второй баллончик в кармане, который позволит защититься от большой группы нападающих сделав завесу. Перец-11А лучше не использовать в помещении.</p><iframe src=""//www.youtube.com/embed/AWWsDEKKh2w"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe><p>Обзор новых баллончиков аэрозольного и аэрозольно-струйного типа распыления с максимальными концентрациями действующих веществ производства Техкрим.</p><iframe src=""//www.youtube.com/embed/Z33XkWDp498"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe><p>К сожалению, криминальная ситуация на улицах наших городов не позволяет нам чувствовать себя в безопасности. Кроме того, может существовать опасность нападения бродячих животных. Для того чтобы уберечь себя и своих близких, нам приходится обращаться к средствам самообороны.</p>";;1;"Обычный товар";;;"газовый баллончик Перец 11-А, 65 мл.";"Перец 11-А, Перец 11-А, 65, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Аэрозольный газовый баллончик Перец 11-А, 65 мл. от ЗАО ""Техкрим""";perets-11-a-65-ml;0.0000;0.0000;"51 г.";Аэрозольный;"OC олеорезин капсикум 95% (экстракт натурального жгучего перца) Tc: 1,2%";"60 см.";"2 м.";"5 с (10 кратковременных нажатий)";;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/22/00/22/images/93/93.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/22/00/22/images/94/94.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/22/00/22/images/95/95.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/22/00/22/images/96/96.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/22/00/22/images/97/97.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/22/00/22/images/98/98.970.jpg;;
"Факел 100";;;RUB;415;1;0;0;;"Смесевой газовый баллончик «Факел» с аэрозольным типом распыления – это в некотором смысле шедевр среди аэрозольных газовых баллончиков. Большой объем баллончика при компактных размерах позволили обеспечить самую сильную струю по сравнению со всеми остальными баллончиками.";"<p><em>Подумай о безопасности своих друзей - поделись с ними</em></p><p>Смесевой газовый баллончик «Факел» с аэрозольным типом распыления – это в некотором смысле шедевр среди аэрозольных газовых баллончиков. Большой объем баллончика при компактных размерах позволили обеспечить самую сильную струю по сравнению со всеми остальными баллончиками.</p><p>У газового баллончика «Факел» малое время выхода всего содержимого – всего 3 секунды для баллончика 75 мл и всего 4 секунды баллончик 100 мл, но зато максимальный расход действующих веществ – 19,7г/сек – что обеспечивает максимальное залитие противников.</p><iframe src=""//www.youtube.com/embed/a3dKSF6DHOc"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe><p>Факел 100 является очень хорошим решением для автомобиля или велосипеда.</p><iframe src=""//www.youtube.com/embed/bZyQfxdA-fA"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe>";;1;"Обычный товар";;;"газовый баллончик Факел 100";"Факел 100, Факел, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Аэрозольный газовый баллончик Факел 100 мл. от ЗАО ""Техкрим""";fakel-100;0.0000;0.0000;"84 г.";Аэрозольный;"CS полицейский ирритант в других странах (синтетическое вещество) Tcs: 0,17%; OC олеорезин капсикум 20% (экстракт натурального жгучего перца) Tc: 0,24%";"65 см.";"3 м.";"4 с (8 кратковременных нажатий)";-10…+50°С;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/21/00/21/images/88/88.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/21/00/21/images/89/89.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/21/00/21/images/90/90.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/21/00/21/images/91/91.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/21/00/21/images/92/92.970.jpg;;;
"Факел 75";;;RUB;370;1;0;0;;"Смесевой газовый баллончик «Факел» с аэрозольным типом распыления – это в некотором смысле шедевр среди аэрозольных газовых баллончиков. Большой объем баллончика при компактных размерах позволили обеспечить самую сильную струю по сравнению со всеми остальными баллончиками.";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p>Смесевой газовый баллончик «Факел» с аэрозольным типом распыления – это в некотором смысле шедевр среди аэрозольных газовых баллончиков. Большой объем баллончика при компактных размерах позволили обеспечить самую сильную струю по сравнению со всеми остальными баллончиками.</p><p>У газового баллончика «Факел» малое время выхода всего содержимого – всего 3 секунды для баллончика 75 мл и всего 4 секунды баллончик 100 мл, но зато максимальный расход действующих веществ – 19,7г/сек – что обеспечивает максимальное залитие противников.</p><iframe src=""//www.youtube.com/embed/67sTPiaMRBE"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe><p>Баллончики серии «Факел» на сегодняшний день обладают самой мощной струей среди всех компактных газовых баллончиков как РФ, так и за рубежом. Факел 75 очень хорошо подходит как второй бэкапный баллончик для ношения с собой (в зимней одежде или сумке).</p><iframe src=""//www.youtube.com/embed/bZyQfxdA-fA"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe>";;1;"Обычный товар";;;"газовый баллончик Факел 75";"Факел 75, Факел, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Аэрозольный газовый баллончик Факел 75 мл. от ЗАО ""Техкрим""";fakel-75;0.0000;0.0000;"59 г.";Аэрозольный;"CS полицейский ирритант в других странах (синтетическое вещество) Tcs: 0,24%; OC олеорезин капсикум 20% (экстракт натурального жгучего перца) Tc: 0,34%";"65 см.";"3 м.";"3 с (6 кратковременных нажатий)";-10…+50°С;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/20/00/20/images/84/84.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/20/00/20/images/85/85.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/20/00/20/images/86/86.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/20/00/20/images/87/87.970.jpg;;;;
"Перцовка 65 мл.";;;RUB;345;1;0;0;;"Газовый баллончик «Перцовка» – это смесевой газовый баллончик, который содержит два действующих ирританта: OC олеорезин капсикум 20% (экстракт натурального жгучего перца) и CS полицейский ирритант в других странах (синтетическое вещество). Баллончики «Перцовка» имеют аэрозольный тип распыления.";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p>Газовый баллончик «Перцовка» – это смесевой газовый баллончик, который содержит два действующих ирританта: <strong style=""background-color: initial;"">OC</strong> олеорезин капсикум<strong style=""background-color: initial;"">20% </strong>(<em style=""background-color: initial;"">экстракт натурального жгучего перца</em>) и <strong style=""background-color: initial;"">CS </strong>полицейский ирритант в других странах (<em style=""background-color: initial;"">синтетическое вещество</em>). Баллончики «Перцовка» имеют аэрозольный тип распыления.</p><p>Баллончики «Перцовка» – это баллончики предпоследнего поколения – они занимают «среднее» место по стоимости и эффективности в линейке баллончиков ЗАО «Техкрим»: «Перцовка» конечно эффективнее <a href=""http://pepper.glyanec.net/cans/zhguchiy-perchik-65-ml"">«Жгучего перчика»</a>, но баллончики последнего поколения, такие как <a href=""http://pepper.glyanec.net/cans/black-65-ml"">""Black""</a> или <a href=""http://pepper.glyanec.net/cans/shpaga-65-ml"">""Шпага""</a>, конечно эффективнее «Перцовки».</p><iframe src=""//www.youtube.com/embed/wqUevB7hVRU"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe><p>Газовые баллончики «Перцовка» очень востребованы и часто покупаются сотрудниками ЧОПов и частными охранниками, как недорогое эффективное средство.</p><iframe src=""//www.youtube.com/embed/bZyQfxdA-fA"" allowfullscreen="""" height=""174"" width=""278"" frameborder=""0""></iframe>";;1;"Обычный товар";;;"газовый баллончик Перцовка 65 мл.";"Перцовка 65, Перцовка, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Аэрозольный газовый баллончик Перцовка 65 мл. от ЗАО ""Техкрим""";pertsovka-65-ml;0.0000;0.0000;"51 г.";Аэрозольный;"CS полицейский ирритант в других странах (синтетическое вещество) Tcs: 0,28%; OC олеорезин капсикум 20% (экстракт натурального жгучего перца) Tc: 0,39%";"60 см.";"2 м.";"5 с (10 кратковременных нажатий)";-10…+50°С;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/18/00/18/images/78/78.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/18/00/18/images/80/80.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/18/00/18/images/81/81.970.jpg;;;;;
"Жгучий перчик 65 мл.";;;RUB;299;1;0;0;;"Газовые баллончики «Жгучий перчик» являются самыми недорогими в представленной линейке баллончиков ЗАО «Техкрим». Баллончики «Жгучий перчик» имеют аэрозольный тип распыления и содержат только один действующий ирритант – OC олеорезин капсикум 20% (экстракт натурального жгучего перца).";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p>Газовые баллончики «Жгучий перчик» являются самыми недорогими в представленной линейке баллончиков ЗАО «Техкрим». Баллончики «Жгучий перчик» имеют аэрозольный тип распыления и содержат только один действующий ирритант –<strong> OC</strong> олеорезин капсикум 20% (<em>экстракт натурального жгучего перца</em>).</p><p>При этом, не взирая на недорогую цену, и не самую высокую концентрацию действующего вещества, газовые баллончики «Жгучий перчик» могут эффективно применяться как по людям так и по собакам. Это решение может подойти тем, кто ограничен в средствах, но все равно хочет обладать средством самообороны, которое позволит спасти свою жизнь или здоровье.</p>";;1;"Обычный товар";;;"газовый баллончик Жгучий перчик 65 мл";"Жгучий перчик 65, Жгучий перчик, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Аэрозольный газовый баллончик Жгучий перчик 65 мл. от ЗАО ""Техкрим""";zhguchiy-perchik-65-ml;0.0000;0.0000;"22 г";Аэрозольный;"OC олеорезин капсикум 20% (экстракт натурального жгучего перца) Tc: 0,91";"40 см.";"1,5 м.";"5 с (10 кратковременных нажатий)";-10…+50°С;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/17/00/17/images/76/76.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/17/00/17/images/77/77.970.jpg;;;;;;
"Жгучий перчик 25 мл.";;;RUB;250;1;0;0;;"Газовые баллончики «Жгучий перчик» являются самыми недорогими в представленной линейке баллончиков ЗАО «Техкрим». Баллончики «Жгучий перчик» имеют аэрозольный тип распыления и содержат только один действующий ирритант – OC олеорезин капсикум 20% (экстракт натурального жгучего перца).";"<p><em style=""background-color: initial;"">Подумай о безопасности своих друзей - поделись с ними</em></p><p>Газовые баллончики «Жгучий перчик» являются самыми недорогими в представленной линейке баллончиков ЗАО «Техкрим». Баллончики «Жгучий перчик» имеют аэрозольный тип распыления и содержат только один действующий ирритант –<strong style=""background-color: initial;""> OC</strong> олеорезин капсикум 20% (<em style=""background-color: initial;"">экстракт натурального жгучего перца</em>).</p><p>При этом, не взирая на недорогую цену, и не самую высокую концентрацию действующего вещества, газовые баллончики «Жгучий перчик» могут эффективно применяться как по людям так и по собакам. Это решение может подойти тем, кто ограничен в средствах, но все равно хочет обладать средством самообороны, которое позволит спасти свою жизнь или здоровье.</p>";;1;"Обычный товар";;;"газовый баллончик Жгучий перчик 25 мл";"Жгучий перчик 25, Жгучий перчик, Техкрим, газовый баллончик, перцовый баллончик, газовые баллончики, купить газовый баллончик, газовый баллончик, газовый баллончик купить, оружие для самообороны, перцовый баллончик, средства защиты от нападения, средства самообороны, средства самообороны без лицензии, самый эффективный газовый баллончик";"Аэрозольный газовый баллончик Жгучий перчик 25 мл. от ЗАО ""Техкрим""";zhguchiy-perchik-25-ml;0.0000;0.0000;"22 г.";Аэрозольный;"OC олеорезин капсикум 20% (экстракт натурального жгучего перца) Tc: 0,91";"40 см.";"1,5 м.";"5 с (10 кратковременных нажатий)";-10…+50°С;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/16/00/16/images/74/74.970.jpg;http://pepper-vk.host.webasyst.com/wa-data/public/shop/products/16/00/16/images/75/75.970.jpg;;;;;;
Струйные;;;;;;;;;;;;1;;;;;"струйный газовый баллончик, струйный баллончик, шпага, перцовый струй,";"Струйные газовые баллончики последнего поколения обладают повышенной дальностью и ветроустойчивостью";struynye;;;;;;;;;;;;;;;;;
